t1.java, Found 3 type errors.
t2.java, Program type-checked succesfully.
t3.java, Found 4 type errors.
t4.java, Found 4 type errors.
t5.java, Program type-checked succesfully.
t6.java, Found 21 type errors.
t7.java, Found 8 type errors.
t8.java, Found 14 type errors.
t9.java, Found 18 type errors.
t10.java, Found 8 type errors.
t11.java, Found 4 type errors.
Large\ testcases/T1.java, Found 133 type errors.
Large\ testcases/T2.java, Found 41 type errors.
Large\ testcases/T3.java, Found 173 type errors.
Large\ testcases/T4.java, Found 24 type errors.
Large\ testcases/T5.java, Found 105 type errors.
Large\ testcases/T6.java, Found 5 type errors.
Large\ testcases/T7.java, Found 124 type errors.
Large\ testcases/T8.java, Found 7 type errors.
Large\ testcases/T9.java, Found 49 type errors.
